{Epoch: 0} loss: 0.693768, binary_accuracy: 0.497191, val_loss: 0.691796, val_binary_accuracy: 0.533025
{Epoch: 1} loss: 0.693026, binary_accuracy: 0.501652, val_loss: 0.691726, val_binary_accuracy: 0.533025
{Epoch: 2} loss: 0.692766, binary_accuracy: 0.501652, val_loss: 0.691297, val_binary_accuracy: 0.533025
{Epoch: 3} loss: 0.692622, binary_accuracy: 0.501652, val_loss: 0.691345, val_binary_accuracy: 0.533025
{Epoch: 4} loss: 0.692453, binary_accuracy: 0.502148, val_loss: 0.690807, val_binary_accuracy: 0.533025
{Epoch: 5} loss: 0.692222, binary_accuracy: 0.501652, val_loss: 0.689952, val_binary_accuracy: 0.533025
{Epoch: 6} loss: 0.691994, binary_accuracy: 0.501652, val_loss: 0.690203, val_binary_accuracy: 0.533025
{Epoch: 7} loss: 0.691801, binary_accuracy: 0.501652, val_loss: 0.690309, val_binary_accuracy: 0.533025
{Epoch: 8} loss: 0.691654, binary_accuracy: 0.501652, val_loss: 0.689416, val_binary_accuracy: 0.533025
{Epoch: 9} loss: 0.691498, binary_accuracy: 0.501652, val_loss: 0.689363, val_binary_accuracy: 0.533025
{Epoch: 10} loss: 0.691435, binary_accuracy: 0.501652, val_loss: 0.689659, val_binary_accuracy: 0.533025
{Epoch: 11} loss: 0.691117, binary_accuracy: 0.503635, val_loss: 0.689029, val_binary_accuracy: 0.533025
{Epoch: 12} loss: 0.690884, binary_accuracy: 0.501652, val_loss: 0.688967, val_binary_accuracy: 0.533025
{Epoch: 13} loss: 0.690729, binary_accuracy: 0.501652, val_loss: 0.688564, val_binary_accuracy: 0.533025
{Epoch: 14} loss: 0.690681, binary_accuracy: 0.501983, val_loss: 0.688754, val_binary_accuracy: 0.533025
{Epoch: 15} loss: 0.690336, binary_accuracy: 0.501652, val_loss: 0.688501, val_binary_accuracy: 0.533025
{Epoch: 16} loss: 0.690043, binary_accuracy: 0.502313, val_loss: 0.688090, val_binary_accuracy: 0.533025
{Epoch: 17} loss: 0.689848, binary_accuracy: 0.501652, val_loss: 0.687720, val_binary_accuracy: 0.533025
{Epoch: 18} loss: 0.689538, binary_accuracy: 0.501652, val_loss: 0.687798, val_binary_accuracy: 0.533025
{Epoch: 19} loss: 0.689332, binary_accuracy: 0.501652, val_loss: 0.687742, val_binary_accuracy: 0.533025
{Epoch: 20} loss: 0.689022, binary_accuracy: 0.501652, val_loss: 0.687832, val_binary_accuracy: 0.533025
{Epoch: 21} loss: 0.688741, binary_accuracy: 0.501652, val_loss: 0.687199, val_binary_accuracy: 0.533025
{Epoch: 22} loss: 0.688464, binary_accuracy: 0.501652, val_loss: 0.686895, val_binary_accuracy: 0.533025
{Epoch: 23} loss: 0.688114, binary_accuracy: 0.501652, val_loss: 0.686159, val_binary_accuracy: 0.533025
{Epoch: 24} loss: 0.687784, binary_accuracy: 0.521646, val_loss: 0.685620, val_binary_accuracy: 0.533025
{Epoch: 25} loss: 0.687384, binary_accuracy: 0.501652, val_loss: 0.685736, val_binary_accuracy: 0.533025
{Epoch: 26} loss: 0.686904, binary_accuracy: 0.519002, val_loss: 0.684787, val_binary_accuracy: 0.533025
{Epoch: 27} loss: 0.686519, binary_accuracy: 0.501652, val_loss: 0.684407, val_binary_accuracy: 0.533025
{Epoch: 28} loss: 0.686033, binary_accuracy: 0.501652, val_loss: 0.684153, val_binary_accuracy: 0.533025
{Epoch: 29} loss: 0.685566, binary_accuracy: 0.536847, val_loss: 0.683025, val_binary_accuracy: 0.533025
{Epoch: 30} loss: 0.685175, binary_accuracy: 0.501652, val_loss: 0.683373, val_binary_accuracy: 0.533025
{Epoch: 31} loss: 0.684597, binary_accuracy: 0.619630, val_loss: 0.682194, val_binary_accuracy: 0.533025
{Epoch: 32} loss: 0.684074, binary_accuracy: 0.523463, val_loss: 0.682245, val_binary_accuracy: 0.537649
{Epoch: 33} loss: 0.683609, binary_accuracy: 0.549405, val_loss: 0.681497, val_binary_accuracy: 0.533025
{Epoch: 34} loss: 0.682934, binary_accuracy: 0.532551, val_loss: 0.681269, val_binary_accuracy: 0.585865
