{Epoch: 0} loss: 0.693106, binary_accuracy: 0.500330, val_loss: 0.692746, val_binary_accuracy: 0.523118
{Epoch: 1} loss: 0.693040, binary_accuracy: 0.509749, val_loss: 0.692702, val_binary_accuracy: 0.523118
{Epoch: 2} loss: 0.693517, binary_accuracy: 0.498843, val_loss: 0.692669, val_binary_accuracy: 0.523118
{Epoch: 3} loss: 0.693027, binary_accuracy: 0.504461, val_loss: 0.692614, val_binary_accuracy: 0.523118
{Epoch: 4} loss: 0.693405, binary_accuracy: 0.499670, val_loss: 0.692596, val_binary_accuracy: 0.523118
{Epoch: 5} loss: 0.693187, binary_accuracy: 0.497687, val_loss: 0.692577, val_binary_accuracy: 0.523118
{Epoch: 6} loss: 0.692885, binary_accuracy: 0.507601, val_loss: 0.692522, val_binary_accuracy: 0.523118
{Epoch: 7} loss: 0.693130, binary_accuracy: 0.501652, val_loss: 0.692492, val_binary_accuracy: 0.523118
{Epoch: 8} loss: 0.692889, binary_accuracy: 0.505122, val_loss: 0.692451, val_binary_accuracy: 0.523118
{Epoch: 9} loss: 0.693026, binary_accuracy: 0.498017, val_loss: 0.692432, val_binary_accuracy: 0.523118
{Epoch: 10} loss: 0.693033, binary_accuracy: 0.502644, val_loss: 0.692403, val_binary_accuracy: 0.523118
{Epoch: 11} loss: 0.692408, binary_accuracy: 0.517350, val_loss: 0.692355, val_binary_accuracy: 0.523118
{Epoch: 12} loss: 0.693374, binary_accuracy: 0.489590, val_loss: 0.692338, val_binary_accuracy: 0.523118
{Epoch: 13} loss: 0.692560, binary_accuracy: 0.505453, val_loss: 0.692300, val_binary_accuracy: 0.523118
{Epoch: 14} loss: 0.692822, binary_accuracy: 0.504627, val_loss: 0.692285, val_binary_accuracy: 0.523118
{Epoch: 15} loss: 0.692870, binary_accuracy: 0.495373, val_loss: 0.692253, val_binary_accuracy: 0.523118
{Epoch: 16} loss: 0.692715, binary_accuracy: 0.497356, val_loss: 0.692232, val_binary_accuracy: 0.523118
{Epoch: 17} loss: 0.692771, binary_accuracy: 0.504296, val_loss: 0.692221, val_binary_accuracy: 0.523118
{Epoch: 18} loss: 0.692611, binary_accuracy: 0.503305, val_loss: 0.692161, val_binary_accuracy: 0.523118
{Epoch: 19} loss: 0.693042, binary_accuracy: 0.499339, val_loss: 0.692138, val_binary_accuracy: 0.523118
{Epoch: 20} loss: 0.692684, binary_accuracy: 0.500661, val_loss: 0.692109, val_binary_accuracy: 0.523118
{Epoch: 21} loss: 0.692707, binary_accuracy: 0.502313, val_loss: 0.692073, val_binary_accuracy: 0.523118
{Epoch: 22} loss: 0.692341, binary_accuracy: 0.514541, val_loss: 0.692021, val_binary_accuracy: 0.523118
{Epoch: 23} loss: 0.692468, binary_accuracy: 0.499009, val_loss: 0.691989, val_binary_accuracy: 0.523118
{Epoch: 24} loss: 0.692543, binary_accuracy: 0.511236, val_loss: 0.691934, val_binary_accuracy: 0.523118
{Epoch: 25} loss: 0.692338, binary_accuracy: 0.510575, val_loss: 0.691898, val_binary_accuracy: 0.523118
{Epoch: 26} loss: 0.692217, binary_accuracy: 0.509088, val_loss: 0.691817, val_binary_accuracy: 0.523118
{Epoch: 27} loss: 0.692199, binary_accuracy: 0.504627, val_loss: 0.691756, val_binary_accuracy: 0.523118
{Epoch: 28} loss: 0.692245, binary_accuracy: 0.513549, val_loss: 0.691710, val_binary_accuracy: 0.523118
{Epoch: 29} loss: 0.692127, binary_accuracy: 0.508757, val_loss: 0.691634, val_binary_accuracy: 0.523118
{Epoch: 30} loss: 0.692066, binary_accuracy: 0.506775, val_loss: 0.691564, val_binary_accuracy: 0.523118
{Epoch: 31} loss: 0.691937, binary_accuracy: 0.514375, val_loss: 0.691492, val_binary_accuracy: 0.523118
{Epoch: 32} loss: 0.692056, binary_accuracy: 0.509088, val_loss: 0.691405, val_binary_accuracy: 0.523118
{Epoch: 33} loss: 0.692062, binary_accuracy: 0.509088, val_loss: 0.691357, val_binary_accuracy: 0.523778
{Epoch: 34} loss: 0.692207, binary_accuracy: 0.507931, val_loss: 0.691309, val_binary_accuracy: 0.525099
{Epoch: 35} loss: 0.691668, binary_accuracy: 0.514375, val_loss: 0.691208, val_binary_accuracy: 0.526420
