{Epoch: 0} loss: 0.694036, binary_accuracy: 0.506775, val_loss: 0.694127, val_binary_accuracy: 0.504624
{Epoch: 1} loss: 0.693606, binary_accuracy: 0.514541, val_loss: 0.693784, val_binary_accuracy: 0.504624
{Epoch: 2} loss: 0.693274, binary_accuracy: 0.514541, val_loss: 0.693446, val_binary_accuracy: 0.504624
{Epoch: 3} loss: 0.692945, binary_accuracy: 0.514541, val_loss: 0.693287, val_binary_accuracy: 0.504624
{Epoch: 4} loss: 0.692653, binary_accuracy: 0.514541, val_loss: 0.692878, val_binary_accuracy: 0.504624
{Epoch: 5} loss: 0.692319, binary_accuracy: 0.514541, val_loss: 0.692502, val_binary_accuracy: 0.504624
{Epoch: 6} loss: 0.692010, binary_accuracy: 0.514541, val_loss: 0.692271, val_binary_accuracy: 0.504624
{Epoch: 7} loss: 0.691645, binary_accuracy: 0.514541, val_loss: 0.691931, val_binary_accuracy: 0.504624
{Epoch: 8} loss: 0.691278, binary_accuracy: 0.514541, val_loss: 0.691417, val_binary_accuracy: 0.504624
{Epoch: 9} loss: 0.690966, binary_accuracy: 0.514541, val_loss: 0.691050, val_binary_accuracy: 0.504624
{Epoch: 10} loss: 0.690534, binary_accuracy: 0.516854, val_loss: 0.690840, val_binary_accuracy: 0.504624
{Epoch: 11} loss: 0.690143, binary_accuracy: 0.514541, val_loss: 0.690382, val_binary_accuracy: 0.504624
{Epoch: 12} loss: 0.689719, binary_accuracy: 0.515863, val_loss: 0.689815, val_binary_accuracy: 0.504624
{Epoch: 13} loss: 0.689333, binary_accuracy: 0.514541, val_loss: 0.689410, val_binary_accuracy: 0.504624
{Epoch: 14} loss: 0.688846, binary_accuracy: 0.527925, val_loss: 0.689121, val_binary_accuracy: 0.504624
{Epoch: 15} loss: 0.688383, binary_accuracy: 0.524455, val_loss: 0.688664, val_binary_accuracy: 0.504624
{Epoch: 16} loss: 0.687845, binary_accuracy: 0.517515, val_loss: 0.688111, val_binary_accuracy: 0.504624
{Epoch: 17} loss: 0.687298, binary_accuracy: 0.518837, val_loss: 0.687257, val_binary_accuracy: 0.580581
{Epoch: 18} loss: 0.686804, binary_accuracy: 0.662260, val_loss: 0.686963, val_binary_accuracy: 0.511229
{Epoch: 19} loss: 0.686313, binary_accuracy: 0.548083, val_loss: 0.686376, val_binary_accuracy: 0.515192
{Epoch: 20} loss: 0.685658, binary_accuracy: 0.524455, val_loss: 0.685664, val_binary_accuracy: 0.530383
{Epoch: 21} loss: 0.685001, binary_accuracy: 0.537508, val_loss: 0.685021, val_binary_accuracy: 0.540291
{Epoch: 22} loss: 0.684352, binary_accuracy: 0.632849, val_loss: 0.684315, val_binary_accuracy: 0.566711
{Epoch: 23} loss: 0.683815, binary_accuracy: 0.543622, val_loss: 0.683516, val_binary_accuracy: 0.654557
{Epoch: 24} loss: 0.683035, binary_accuracy: 0.632683, val_loss: 0.683018, val_binary_accuracy: 0.561427
{Epoch: 25} loss: 0.682268, binary_accuracy: 0.586252, val_loss: 0.682182, val_binary_accuracy: 0.597094
{Epoch: 26} loss: 0.681268, binary_accuracy: 0.628718, val_loss: 0.680868, val_binary_accuracy: 0.653236
