{Epoch: 0} loss: 0.695221, binary_accuracy: 0.498348, val_loss: 0.694180, val_binary_accuracy: 0.484148
{Epoch: 1} loss: 0.691876, binary_accuracy: 0.498348, val_loss: 0.691793, val_binary_accuracy: 0.484148
{Epoch: 2} loss: 0.691158, binary_accuracy: 0.498348, val_loss: 0.691287, val_binary_accuracy: 0.484148
{Epoch: 3} loss: 0.690872, binary_accuracy: 0.670853, val_loss: 0.690826, val_binary_accuracy: 0.572655
{Epoch: 4} loss: 0.690524, binary_accuracy: 0.528586, val_loss: 0.690539, val_binary_accuracy: 0.618890
{Epoch: 5} loss: 0.690291, binary_accuracy: 0.583939, val_loss: 0.690257, val_binary_accuracy: 0.642008
{Epoch: 6} loss: 0.689971, binary_accuracy: 0.715796, val_loss: 0.689998, val_binary_accuracy: 0.606341
{Epoch: 7} loss: 0.689641, binary_accuracy: 0.779081, val_loss: 0.689597, val_binary_accuracy: 0.761559
{Epoch: 8} loss: 0.689330, binary_accuracy: 0.739094, val_loss: 0.689342, val_binary_accuracy: 0.696830
{Epoch: 9} loss: 0.689021, binary_accuracy: 0.741738, val_loss: 0.689134, val_binary_accuracy: 0.585865
{Epoch: 10} loss: 0.688703, binary_accuracy: 0.691011, val_loss: 0.688716, val_binary_accuracy: 0.686262
{Epoch: 11} loss: 0.688289, binary_accuracy: 0.728189, val_loss: 0.688236, val_binary_accuracy: 0.793923
{Epoch: 12} loss: 0.687966, binary_accuracy: 0.601785, val_loss: 0.687835, val_binary_accuracy: 0.809775
{Epoch: 13} loss: 0.687204, binary_accuracy: 0.720753, val_loss: 0.687154, val_binary_accuracy: 0.756935
{Epoch: 14} loss: 0.686688, binary_accuracy: 0.757766, val_loss: 0.686724, val_binary_accuracy: 0.745707
{Epoch: 15} loss: 0.686267, binary_accuracy: 0.733807, val_loss: 0.686298, val_binary_accuracy: 0.726552
{Epoch: 16} loss: 0.685703, binary_accuracy: 0.789987, val_loss: 0.685747, val_binary_accuracy: 0.762880
{Epoch: 17} loss: 0.685182, binary_accuracy: 0.779081, val_loss: 0.685205, val_binary_accuracy: 0.777411
{Epoch: 18} loss: 0.684690, binary_accuracy: 0.785525, val_loss: 0.684624, val_binary_accuracy: 0.792602
{Epoch: 19} loss: 0.684187, binary_accuracy: 0.776438, val_loss: 0.683877, val_binary_accuracy: 0.750330
{Epoch: 20} loss: 0.683607, binary_accuracy: 0.754957, val_loss: 0.683645, val_binary_accuracy: 0.764861
