{Epoch: 0} loss: 0.684150, binary_accuracy: 0.600628, val_loss: 0.680188, val_binary_accuracy: 0.663144
{Epoch: 1} loss: 0.675604, binary_accuracy: 0.669696, val_loss: 0.670396, val_binary_accuracy: 0.683620
{Epoch: 2} loss: 0.664057, binary_accuracy: 0.686550, val_loss: 0.659020, val_binary_accuracy: 0.683620
{Epoch: 3} loss: 0.652294, binary_accuracy: 0.689855, val_loss: 0.647985, val_binary_accuracy: 0.682299
{Epoch: 4} loss: 0.640884, binary_accuracy: 0.689855, val_loss: 0.637281, val_binary_accuracy: 0.682299
{Epoch: 5} loss: 0.628980, binary_accuracy: 0.690020, val_loss: 0.626136, val_binary_accuracy: 0.686262
{Epoch: 6} loss: 0.619026, binary_accuracy: 0.692003, val_loss: 0.618610, val_binary_accuracy: 0.687583
{Epoch: 7} loss: 0.611936, binary_accuracy: 0.692168, val_loss: 0.613196, val_binary_accuracy: 0.686262
{Epoch: 8} loss: 0.607306, binary_accuracy: 0.690681, val_loss: 0.610016, val_binary_accuracy: 0.687583
{Epoch: 9} loss: 0.604418, binary_accuracy: 0.691672, val_loss: 0.607852, val_binary_accuracy: 0.685601
{Epoch: 10} loss: 0.602461, binary_accuracy: 0.691176, val_loss: 0.606796, val_binary_accuracy: 0.687583
{Epoch: 11} loss: 0.601048, binary_accuracy: 0.693655, val_loss: 0.605555, val_binary_accuracy: 0.688243
{Epoch: 12} loss: 0.599920, binary_accuracy: 0.693490, val_loss: 0.604278, val_binary_accuracy: 0.685601
{Epoch: 13} loss: 0.599034, binary_accuracy: 0.692498, val_loss: 0.603936, val_binary_accuracy: 0.687583
{Epoch: 14} loss: 0.598054, binary_accuracy: 0.694316, val_loss: 0.602426, val_binary_accuracy: 0.687583
{Epoch: 15} loss: 0.597340, binary_accuracy: 0.693325, val_loss: 0.601797, val_binary_accuracy: 0.686262
{Epoch: 16} loss: 0.596514, binary_accuracy: 0.694481, val_loss: 0.601447, val_binary_accuracy: 0.689564
{Epoch: 17} loss: 0.595634, binary_accuracy: 0.694481, val_loss: 0.599808, val_binary_accuracy: 0.688904
{Epoch: 18} loss: 0.594892, binary_accuracy: 0.695142, val_loss: 0.598939, val_binary_accuracy: 0.688904
{Epoch: 19} loss: 0.594157, binary_accuracy: 0.695803, val_loss: 0.597866, val_binary_accuracy: 0.690225
{Epoch: 20} loss: 0.593224, binary_accuracy: 0.695803, val_loss: 0.596873, val_binary_accuracy: 0.690225
{Epoch: 21} loss: 0.592453, binary_accuracy: 0.696794, val_loss: 0.595943, val_binary_accuracy: 0.692867
